1.067176e+03	1.874471e+02	9.977170e+02	1.492699e+02	1.039481e+03	7.328459e+01	1.108940e+03	1.114617e+02	1.187947e+02	1.013599e+03	8.737317e+01	7.945917e+01	8.598532e+01	
9.656656e+02	1.299534e+02	8.979696e+02	9.623952e+01	9.316834e+02	2.854350e+01	9.993795e+02	6.225734e+01	1.164741e+02	9.098265e+02	4.040042e+01	7.769602e+01	7.769602e+01	
9.705428e+02	5.378829e+02	1.025923e+03	5.835552e+02	9.871836e+02	6.305280e+02	9.318038e+02	5.848557e+02	-5.048718e+01	9.461733e+02	5.557191e+02	6.537972e+01	5.697275e+01	
7.584706e+02	3.790770e+02	8.234036e+02	4.218412e+02	7.806394e+02	4.867741e+02	7.157065e+02	4.440100e+02	-5.663151e+01	7.320886e+02	3.954591e+02	7.493291e+01	7.493291e+01	
6.865737e+02	3.301217e+02	7.478593e+02	3.695282e+02	7.144132e+02	4.215439e+02	6.531276e+02	3.821374e+02	-5.725907e+01	6.648507e+02	3.448249e+02	7.128559e+01	6.201576e+01	
5.338721e+02	2.372888e+02	5.891342e+02	2.679775e+02	5.584455e+02	3.232395e+02	5.031834e+02	2.925508e+02	-6.095527e+01	5.135278e+02	2.476331e+02	6.526205e+01	6.526205e+01	
5.488955e+02	4.161243e+02	5.137334e+02	4.842656e+02	4.387680e+02	4.455822e+02	4.739301e+02	3.774409e+02	2.729451e+01	4.513491e+02	3.917826e+02	8.496541e+01	7.814132e+01	
3.425577e+02	1.835613e+02	4.061090e+02	1.780236e+02	4.116468e+02	2.415749e+02	3.480954e+02	2.471127e+02	-9.498006e+01	3.403265e+02	1.757925e+02	7.355136e+01	7.355136e+01	
2.157652e+02	2.120959e+02	2.793166e+02	1.743569e+02	3.170556e+02	2.379083e+02	2.535042e+02	2.756473e+02	-1.207033e+02	2.296347e+02	1.882264e+02	7.355136e+01	7.355136e+01	
1.150765e+02	2.612007e+02	1.827725e+02	2.274869e+02	2.164864e+02	2.951829e+02	1.487904e+02	3.288968e+02	-1.164741e+02	1.269334e+02	2.393438e+02	7.769602e+01	7.769602e+01	
